acetylo acetyle
aczają czają
adenomatosis None
administracyjnoporządkowe None
adopcyjnoopiekuńcze None
adopcyjnoopiekuńczego None
aerotermalną None
afo ano
agricultura None
amaryllidaceae None
american None
amidow amidowy
an na
anaemia anemia
anidyny anodyny
anser danser
anthrax None
any ani
apa­ratury aparatury
arizone arizony
arr art
avocat None
azabicyklo None
azotano azotan
babassu None
bay aby
benzomorfan None






gmo 298
sa 266
iv 261
sww 227
skw 196
ex 169
ike 162
vi 152
remediacji 120
vii 111
ure 103
uke 97
kn 95
cn 83
pkwiu 81
udt 77
viii 72
bswsg 70
bswp 66
ix 53
phs 53
hcfc 46
xi 44
fep 42
doręczeń 41
mgo 41
utk 40
ose 38
frd 36
uokik 35
