bigram                         llr                  bigram oc. un. 1 oc.  un. 2 oc.
r nr                           123279.76449293901   17942      33347      45152
których mowa                   122858.57936193715   13915      17996      28891
mowa w                         122649.18479231214   28577      28891      202079
otrzymuje brzmienie            112743.06744415488   9604       9886       10627
o których                      95342.5645746728     13942      65201      17996
którym mowa                    83117.98531771386    9211       11836      28891
w art                          77611.39373951497    32192      202079     84265
dodaje się                     68533.98755163154    8235       8463       46067
w ust                          64534.936876103966   23585      202079     53704
do spraw                       64185.70170377613    8734       61002      10037
o którym                       64001.5890953077     9224       65201      11836
drodze rozporządzenia          60472.84626674151    4691       7189       5352
minister właściwy              57590.492107382786   4620       7597       6115
stosuje się                    55000.20068806552    6565       6712       46067
na podstawie                   54498.44448970049    6723       50809      6896
z dnia                         52523.83340179049    9579       82923      18051
której mowa                    50002.59793468618    5518       7489       28891
rzeczypospolitej polskiej      49522.70815619373    3406       3571       4033
od dnia                        44697.05850067574    5359       16774      18051
zastępuje się                  40448.16900903845    4784       4823       46067
a także                        39451.49490514445    3793       17057      5458
o której                       38209.455750303176   5537       65201      7489
dz u                           36002.97177566301    2428       2959       3428
co najmniej                    35547.171698539765   2350       3501       2450
właściwy do                    35172.49500018133    4856       6115       61002
w w                            34488.68992773719    11         202079     202079
w brzmieniu                    32442.865018577057   7329       202079     7344
w drodze                       31532.599168147135   7137       202079     7189
r o                            28952.60728195212    7143       33347      65201
może być                       27770.59985758606    2691       12148      6152
samorządu terytorialnego       26432.766388370976   1594       1977       1710
następujące zmiany             26353.669544700046   1810       2279       4039
w przypadku                    26101.537199935567   6071       202079     6543
dni od                         26039.008971168903   2496       3777       16774
się odpowiednio                24988.447431046145   3192       46067      4467
i nr                           24797.16139744776    8464       90377      45152
się wyrazami                   24662.589903374457   2942       46067      3158
mogą być                       23316.80548035553    1884       3942       6152
w zakresie                     23240.397081277268   5488       202079     6134
skreśla się                    23065.427156959624   2710       2736       46067
ustawie z                      22581.76450489307    3709       5499       82923
w ustawie                      22572.57546686862    5201       202079     5499
ministra właściwego            22314.68156041325    1535       2714       3080
unii europejskiej              20816.111902244775   1191       1221       1503
spraw wewnętrznych             19919.227148699232   1579       10037      1700
chyba że                       19908.65661667851    1342       1342       4611
pozbawienia wolności           19708.27863715219    1167       1273       1871
ministrem właściwym            19534.661052908617   1220       1970       1875
po upływie                     19354.893045398865   1629       13601      1677
późn zm                        19304.224980545383   1080       1080       1322
przed dniem                    18910.477925172505   1472       4712       3478
w życie                        18864.783931636226   4290       202079     4410
finansów publicznych           18462.806915563222   1237       2128       2813
skarbu państwa                 18304.260383879915   1292       1296       5992
obrony narodowej               18209.123786837314   1056       1303       1462
ustawa wchodzi                 18003.863730264926   1186       3245       1568
terytorium rzeczypospolitej    17956.978634943636   1228       1869       3571
